dir,t_in,t_out,entry,exit,lots,move,pnl,reason,bal,p10,p30,h4body,mfe,mae,_b
-1,2026-06-25 05:05:00,2026-06-25 06:55:00,3975.08,4000.08,0.01,-25.0,-25.0,SL,10302.569999999989,72.14103277767437,0.7740304500069815,0.7928772381557522,11.729999999999563,-25.0300000000002,Q3
1,2026-06-25 19:06:00,2026-06-25 21:06:00,4038.15,4027.6,0.01,-10.550000000000182,-10.550000000000182,TIME,10292.01999999999,54.50424741901864,0.12789305035358622,0.08753657375534606,5.920000000000073,-14.289999999999964,Q1 low
1,2026-06-26 10:00:00,2026-06-26 12:00:00,4032.3700000000003,4030.92,0.01,-1.4500000000002728,-1.4500000000002728,TIME,10290.569999999989,86.03915888780818,0.7451644078804797,0.07171615962409811,7.449999999999818,-6.550000000000182,Q1 low
1,2026-06-26 13:05:00,2026-06-26 15:05:00,4047.9500000000003,4044.81,0.01,-3.1400000000003274,-3.1400000000003274,TIME,10287.42999999999,71.58930173863851,0.3678796018887146,0.3907348093563455,7.6899999999996,-5.670000000000073,Q2
1,2026-06-26 16:45:00,2026-06-26 18:45:00,4062.7400000000002,4095.17,0.01,32.429999999999836,32.429999999999836,TIME,10319.85999999999,86.2582329572124,1.0598555353058443,0.6838012638452109,32.749999999999545,-4.200000000000273,Q3
-1,2026-06-29 13:04:00,2026-06-29 15:04:00,4028.82,4047.7200000000003,0.01,-18.90000000000009,-18.90000000000009,TIME,10300.95999999999,69.89555406121951,0.4004934125388408,0.15883770783468307,1.0700000000001637,-19.36999999999989,Q1 low
-1,2026-06-29 21:50:00,2026-06-29 23:50:00,4016.35,4014.82,0.01,1.5299999999997453,1.5299999999997453,TIME,10302.48999999999,81.59456402771727,1.4943439758422112,0.6132424858666204,10.7199999999998,-3.580000000000382,Q3
-1,2026-06-30 05:31:00,2026-06-30 07:30:00,3959.03,3984.03,0.01,-25.0,-25.0,SL,10277.48999999999,79.76441984881369,0.7041696936790288,1.058395937850916,4.510000000000218,-30.139999999999873,Q4 high
-1,2026-07-01 03:08:00,2026-07-01 05:08:00,4006.06,3972.1800000000003,0.01,33.879999999999654,33.879999999999654,TIME,10311.36999999999,57.62348949384998,0.19960153155529814,0.14026787641706945,35.559999999999945,-4.0900000000001455,Q1 low
-1,2026-07-01 05:08:00,2026-07-01 07:08:00,3971.88,3977.0600000000004,0.01,-5.180000000000291,-5.180000000000291,TIME,10306.18999999999,81.42108484364505,0.4605992356697876,0.5028061587819025,1.1700000000000728,-15.490000000000236,Q3
1,2026-07-02 07:03:00,2026-07-02 09:03:00,4072.5,4074.2,0.01,1.699999999999818,1.699999999999818,TIME,10307.889999999989,78.6646509840109,0.46508697668338267,0.5013263053062057,3.550000000000182,-19.389999999999873,Q2
1,2026-07-03 04:03:00,2026-07-03 06:03:00,4153.2,4180.55,0.01,27.350000000000364,27.350000000000364,TIME,10335.239999999989,85.31051828973547,1.0357763033542964,0.9835355522385371,42.210000000000036,-0.7699999999995271,Q4 high
1,2026-07-06 02:01:00,2026-07-06 04:01:00,4191.51,4177.42,0.01,-14.090000000000146,-14.090000000000146,TIME,10321.149999999989,78.71816234838226,0.9045036669268265,1.0933081452715228,10.489999999999782,-21.150000000000546,Q4 high
